u_s_exports_and_imports_of_selected_fertilizers_year,u_s_exports_and_imports_of_selected_fertilizers_country,u_s_exports_and_imports_of_selected_fertilizers_commodity,u_s_exports_short_tons,u_s_exports_dollars,u_s_imports_short_tons,u_s_imports_dollars
2012,World total,Total,10783383.128299987,4524425576,35552394.818299845,12971781552
2012,World total,Ammonium Nitrate (Solid),369361.9909,107094247,938283.2715,251160833
2012,World total,Ammonium Sulfate,1428243.4962000002,361485882,274619.3059,72519921
2012,World total,Anhydrous Ammonia,41503.79960000001,21683794,6938743.7101,3593224143
2012,World total,Aqua Ammonia,6548.764300000002,4033848,96517.388,14936072
2012,World total,Calcium Cyanamide,,,,
2012,World total,Calcium Nitrate,,,42493.66500000001,4785433
2012,World total,Chemical Mixtures,476065.73320000066,259592057,218462.63240000006,121785817
2012,World total,Concentrated Super,91.4909,358240,230239.6056,98343771
2012,World total,Diammonium Phosphate (DAP),3997434.7327000005,1738700734,101105.16060000003,48837281
2012,World total,Monammonium Phosphate (MAP),2653544.744000002,1276755340,546706.6286999995,282340085
2012,World total,Nitrogen Solutions,157721.4932,42504849,3286246.2049000007,877224364
2012,World total,Normal Super,16204.912300000002,10527099,1595.0281000000004,328557
2012,World total,Other Nitrogen Fertilizers,29576.913600000003,11222401,462435.7937000002,72941441
2012,World total,Other Phosphate Fertilizers,,,,
2012,World total,Other Potassium Fertilizers,,,,
2012,World total,Phosphate Rock,42240.136000000006,1382790,2819510.3389000013,368608270
2012,World total,"Phosphoric Acid, Superphosphoric",58781.2498,46656429,5526.9322,2532906
2012,World total,"Phosphoric Acid, Wet Process",868524.2159999999,312708478,2253.1012,534045
2012,World total,Potassium Muriate,173378.5624,76305026,9215293.0357,3474511463
2012,World total,Potassium Nitrate,17356.8158,11424279,175415.6128,119776444
2012,World total,Potassium Sulfate,72420.0077,30052312,118081.6829,55106650
2012,World total,Potassium-Sodium Nitrate,,,583.1167,263409
2012,World total,Sodium Nitrate,3690.5004000000004,2825331,164132.47,67228136
2012,World total,Sulfur,,,2259686.3401999995,234183653
2012,World total,Urea (Solid),370693.56930000003,209112440,7654463.7932,3210608858
2012,Afghanistan,Total,2.2046,24132,,
2012,Afghanistan,Ammonium Nitrate (Solid),,,,
2012,Afghanistan,Ammonium Sulfate,,,,
2012,Afghanistan,Anhydrous Ammonia,,,,
2012,Afghanistan,Aqua Ammonia,,,,
2012,Afghanistan,Calcium Cyanamide,,,,
2012,Afghanistan,Calcium Nitrate,,,,
2012,Afghanistan,Chemical Mixtures,,,,
2012,Afghanistan,Concentrated Super,,,,
2012,Afghanistan,Diammonium Phosphate (DAP),,,,
2012,Afghanistan,Monammonium Phosphate (MAP),,,,
2012,Afghanistan,Nitrogen Solutions,,,,
2012,Afghanistan,Normal Super,,,,
2012,Afghanistan,Other Nitrogen Fertilizers,,,,
2012,Afghanistan,Other Phosphate Fertilizers,,,,
2012,Afghanistan,Other Potassium Fertilizers,,,,
2012,Afghanistan,Phosphate Rock,,,,
